# ======================================================
# 🎛️ Diccionario interno de pulsadores  
# ======================================================
#
# Columnas:
# fuente
#     Tipo de dispositivo al que pertenece la entrada.
#     Define el backend encargado de procesarla.
#
# nativo
#     Identificador original del sistema operativo.
#
# interno
#     Nombre utilizado por el idioma interno RemapH.
#     Es el valor utilizado en perfiles y macros.
#
# interception
#     Nombre utilizado por el backend Interception.
#
# ui
#     Nombre visible por defecto mostrado en la interfaz.
#
# scancode
#     Scan code crudo Set 1 (hex), el mismo estándar de
#     hardware que reporta tanto KBDLLHOOKSTRUCT.scanCode
#     de WinAPI como el ScanCode de la crate `interception`
#     por debajo. Identifica la POSICIÓN física de la tecla,
#     independiente del layout activo — a diferencia de
#     "nativo" (VK), que en Modo Portable resultó no ser
#     confiable para teclas OEM en layouts no-US. Vacío
#     para fuente=mouse (no aplica).
#
# extendida
#     0 o 1. Varias teclas comparten el mismo "scancode" con
#     otra y solo se distinguen por el bit E0 del stroke/evento
#     físico (ej. NumPad7 y Home comparten 0x47). Vacío para
#     fuente=mouse (no aplica).
#
# Este archivo es interno del programa. No se modifica desde la interfaz.
#
# Flujo:
#
# Entrada física
#       ↓
# nativo / scancode+extendida
#       ↓
# pulsadores.tsv
#       ↓
# interno / interception / ui
# ======================================================

fuente	nativo	interno	interception	ui	scancode	extendida

keyboard	0x41	A	A	A	0x1E	0
keyboard	0x42	B	B	B	0x30	0
keyboard	0x43	C	C	C	0x2E	0
keyboard	0x44	D	D	D	0x20	0
keyboard	0x45	E	E	E	0x12	0
keyboard	0x46	F	F	F	0x21	0
keyboard	0x47	G	G	G	0x22	0
keyboard	0x48	H	H	H	0x23	0
keyboard	0x49	I	I	I	0x17	0
keyboard	0x4A	J	J	J	0x24	0
keyboard	0x4B	K	K	K	0x25	0
keyboard	0x4C	L	L	L	0x26	0
keyboard	0x4D	M	M	M	0x32	0
keyboard	0x4E	N	N	N	0x31	0
keyboard	0xBA	Enie	SemiColon	Ñ	0x27	0
keyboard	0x4F	O	O	O	0x18	0
keyboard	0x50	P	P	P	0x19	0
keyboard	0x51	Q	Q	Q	0x10	0
keyboard	0x52	R	R	R	0x13	0
keyboard	0x53	S	S	S	0x1F	0
keyboard	0x54	T	T	T	0x14	0
keyboard	0x55	U	U	U	0x16	0
keyboard	0x56	V	V	V	0x2F	0
keyboard	0x57	W	W	W	0x11	0
keyboard	0x58	X	X	X	0x2D	0
keyboard	0x59	Y	Y	Y	0x15	0
keyboard	0x5A	Z	Z	Z	0x2C	0

keyboard	0x30	Num0	Num0	0	0x0B	0
keyboard	0x31	Num1	Num1	1	0x02	0
keyboard	0x32	Num2	Num2	2	0x03	0
keyboard	0x33	Num3	Num3	3	0x04	0
keyboard	0x34	Num4	Num4	4	0x05	0
keyboard	0x35	Num5	Num5	5	0x06	0
keyboard	0x36	Num6	Num6	6	0x07	0
keyboard	0x37	Num7	Num7	7	0x08	0
keyboard	0x38	Num8	Num8	8	0x09	0
keyboard	0x39	Num9	Num9	9	0x0A	0

keyboard	0x60	NumPad0	Numpad0	Num 0	0x52	0
keyboard	0x61	NumPad1	Numpad1	Num 1	0x4F	0
keyboard	0x62	NumPad2	Numpad2	Num 2	0x50	0
keyboard	0x63	NumPad3	Numpad3	Num 3	0x51	0
keyboard	0x64	NumPad4	Numpad4	Num 4	0x4B	0
keyboard	0x65	NumPad5	Numpad5	Num 5	0x4C	0
keyboard	0x66	NumPad6	Numpad6	Num 6	0x4D	0
keyboard	0x67	NumPad7	Numpad7	Num 7	0x47	0
keyboard	0x68	NumPad8	Numpad8	Num 8	0x48	0
keyboard	0x69	NumPad9	Numpad9	Num 9	0x49	0


keyboard	0x6A	Multiply	NumpadMultiply	*	0x37	0
keyboard	0x6B	Add	NumpadPlus	+	0x4E	0
keyboard	0x6D	Subtract	NumpadMinus	-	0x4A	0
keyboard	0x6E	Decimal	NumpadPeriod	.	0x53	0
keyboard	0x6F	Divide	Divide	/	0x35	1
keyboard	0xD	Enter	Enter	Enter	0x1C	0
keyboard	0x1B	Escape	Esc	Esc	0x01	0
keyboard	0x8	Backspace	Backspace	Backspace	0x0E	0
keyboard	0x9	Tab	Tab	Tab	0x0F	0
